"","Subject","Age","Year","Sex","Session","Scorer","Scores","Mean_Perspiration"
"1",1,22,1,"1",1,"Scorer1",18,-1.59793748529605e-05
"2",1,22,1,"1",2,"Scorer1",22,0.00114716738300959
"3",1,22,1,"1",3,"Scorer1",23,-0.000858981397061764
"4",1,22,1,"1",4,"Scorer1",22,NA
"5",1,22,1,"1",5,"Scorer1",22,NA
"6",2,23,1,"1",1,"Scorer1",17,-0.00592168195993696
"7",2,23,1,"1",2,"Scorer1",19,-0.00605576590389683
"8",2,23,1,"1",3,"Scorer1",22,0.00105833924517951
"9",2,23,1,"1",4,"Scorer1",23,6.71666575641841e-05
"10",2,23,1,"1",5,"Scorer1",24,-0.000573203141484949
"11",3,23,1,"1",1,"Scorer1",19,-0.00178792839452465
"12",3,23,1,"1",2,"Scorer1",22,NA
"13",3,23,1,"1",3,"Scorer1",24,8.62091509154193e-05
"14",3,23,1,"1",4,"Scorer1",24,0.00298711862196917
"15",3,23,1,"1",5,"Scorer1",25,0.00053469309651108
"16",4,23,1,"1",1,"Scorer1",14,0.000156011785890285
"17",4,23,1,"1",2,"Scorer1",14,0.000615402519406952
"18",4,23,1,"1",3,"Scorer1",15,0.000118415962887624
"19",4,23,1,"1",4,"Scorer1",14,9.15648672488124e-05
"20",4,23,1,"1",5,"Scorer1",15,0.000641786104609916
"21",7,25,3,"1",1,"Scorer1",23,-0.00169592316363374
"22",7,25,3,"1",2,"Scorer1",28,0.000567952640394697
"23",7,25,3,"1",3,"Scorer1",29,0.000727105214137374
"24",7,25,3,"1",4,"Scorer1",28,-0.00220490550847957
"25",7,25,3,"1",5,"Scorer1",25,0.000231966336888968
"26",8,22,1,"1",1,"Scorer1",19,NA
"27",8,22,1,"1",2,"Scorer1",22,-0.00251018669572685
"28",8,22,1,"1",3,"Scorer1",24,-0.00216773863171121
"29",8,22,1,"1",4,"Scorer1",28,0.000215657466795738
"30",8,22,1,"1",5,"Scorer1",27,-0.000212901704713079
"31",10,24,2,"1",1,"Scorer1",14,-0.00100651776424983
"32",10,24,2,"1",2,"Scorer1",16,NA
"33",10,24,2,"1",3,"Scorer1",18,0.00131313983615226
"34",10,24,2,"1",4,"Scorer1",19,0.000375303171723313
"35",10,24,2,"1",5,"Scorer1",18,NA
"36",11,22,1,"1",1,"Scorer1",11,-0.00137222804988239
"37",11,22,1,"1",2,"Scorer1",14,-0.00185400388022271
"38",11,22,1,"1",3,"Scorer1",15,0.00274671252599287
"39",11,22,1,"1",4,"Scorer1",13,0.0023577184734148
"40",11,22,1,"1",5,"Scorer1",16,0.00117340373253955
"41",12,23,1,"1",1,"Scorer1",15,9.94860812679179e-05
"42",12,23,1,"1",2,"Scorer1",18,0.00126336697111072
"43",12,23,1,"1",3,"Scorer1",23,0.00228095234443755
"44",12,23,1,"1",4,"Scorer1",27,0.00265546382107251
"45",12,23,1,"1",5,"Scorer1",28,0.00304025483832655
"46",13,22,1,"1",1,"Scorer1",18,0.000337011107933965
"47",13,22,1,"1",2,"Scorer1",17,-0.000357259229028135
"48",13,22,1,"1",3,"Scorer1",25,3.00426927455216e-05
"49",13,22,1,"1",4,"Scorer1",25,-0.000667840902544326
"50",13,22,1,"1",5,"Scorer1",29,-0.000922060920504557
"51",19,23,1,"2",1,"Scorer1",19,NA
"52",19,23,1,"2",2,"Scorer1",23,0.000708714049691245
