,X,Subject,Age,Year,Sex,Session,Scorer,Task,Scores,Mean_Perspiration,Normalised_PP
1,1,1,22,1,Male,Session1,Scorer1,Cutting,18,-1.59794E-05,0.007539787
2,2,1,22,1,Male,Session2,Scorer1,Cutting,22,0.001147167,0.008702933
3,3,1,22,1,Male,Session3,Scorer1,Cutting,23,-0.000858981,0.006696785
4,4,1,22,1,Male,Session4,Scorer1,Cutting,22,NA,NA
5,5,1,22,1,Male,Session5,Scorer1,Cutting,22,NA,NA
6,6,2,23,1,Male,Session1,Scorer1,Cutting,17,-0.005921682,0.001634084
7,7,2,23,1,Male,Session2,Scorer1,Cutting,19,-0.006055766,0.0015
8,8,2,23,1,Male,Session3,Scorer1,Cutting,22,0.001058339,0.008614105
9,9,2,23,1,Male,Session4,Scorer1,Cutting,23,6.71667E-05,0.007622933
10,10,2,23,1,Male,Session5,Scorer1,Cutting,24,-0.000573203,0.006982563
11,11,3,23,1,Male,Session1,Scorer1,Cutting,19,-0.001787928,0.005767838
12,12,3,23,1,Male,Session2,Scorer1,Cutting,22,NA,NA
13,13,3,23,1,Male,Session3,Scorer1,Cutting,24,8.62092E-05,0.007641975
14,14,3,23,1,Male,Session4,Scorer1,Cutting,24,0.002987119,0.010542885
15,15,3,23,1,Male,Session5,Scorer1,Cutting,25,0.000534693,0.008090459
16,16,4,23,1,Male,Session1,Scorer1,Cutting,14,0.000156012,0.007711778
17,17,4,23,1,Male,Session2,Scorer1,Cutting,14,0.000615403,0.008171168
18,18,4,23,1,Male,Session3,Scorer1,Cutting,15,0.000118416,0.007674182
19,19,4,23,1,Male,Session4,Scorer1,Cutting,14,9.15649E-05,0.007647331
20,20,4,23,1,Male,Session5,Scorer1,Cutting,15,0.000641786,0.008197552
21,21,7,25,3,Male,Session1,Scorer1,Cutting,23,-0.001695923,0.005859843
22,22,7,25,3,Male,Session2,Scorer1,Cutting,28,0.000567953,0.008123719
23,23,7,25,3,Male,Session3,Scorer1,Cutting,29,0.000727105,0.008282871
24,24,7,25,3,Male,Session4,Scorer1,Cutting,28,-0.002204906,0.00535086
25,25,7,25,3,Male,Session5,Scorer1,Cutting,25,0.000231966,0.007787732
26,26,8,22,1,Male,Session1,Scorer1,Cutting,19,NA,NA
27,27,8,22,1,Male,Session2,Scorer1,Cutting,22,-0.002510187,0.005045579
28,28,8,22,1,Male,Session3,Scorer1,Cutting,24,-0.002167739,0.005388027
29,29,8,22,1,Male,Session4,Scorer1,Cutting,28,0.000215657,0.007771423
30,30,8,22,1,Male,Session5,Scorer1,Cutting,27,-0.000212902,0.007342864
31,31,10,24,2,Male,Session1,Scorer1,Cutting,14,-0.001006518,0.006549248
32,32,10,24,2,Male,Session2,Scorer1,Cutting,16,NA,NA
33,33,10,24,2,Male,Session3,Scorer1,Cutting,18,0.00131314,0.008868906
34,34,10,24,2,Male,Session4,Scorer1,Cutting,19,0.000375303,0.007931069
35,35,10,24,2,Male,Session5,Scorer1,Cutting,18,NA,NA
36,36,11,22,1,Male,Session1,Scorer1,Cutting,11,-0.001372228,0.006183538
37,37,11,22,1,Male,Session2,Scorer1,Cutting,14,-0.001854004,0.005701762
38,38,11,22,1,Male,Session3,Scorer1,Cutting,15,0.002746713,0.010302478
39,39,11,22,1,Male,Session4,Scorer1,Cutting,13,0.002357718,0.009913484
40,40,11,22,1,Male,Session5,Scorer1,Cutting,16,0.001173404,0.00872917
41,41,12,23,1,Male,Session1,Scorer1,Cutting,15,9.94861E-05,0.007655252
42,42,12,23,1,Male,Session2,Scorer1,Cutting,18,0.001263367,0.008819133
43,43,12,23,1,Male,Session3,Scorer1,Cutting,23,0.002280952,0.009836718
44,44,12,23,1,Male,Session4,Scorer1,Cutting,27,0.002655464,0.01021123
45,45,12,23,1,Male,Session5,Scorer1,Cutting,28,0.003040255,0.010596021
46,46,13,22,1,Male,Session1,Scorer1,Cutting,18,0.000337011,0.007892777
47,47,13,22,1,Male,Session2,Scorer1,Cutting,17,-0.000357259,0.007198507
48,48,13,22,1,Male,Session3,Scorer1,Cutting,25,3.00427E-05,0.007585809
49,49,13,22,1,Male,Session4,Scorer1,Cutting,25,-0.000667841,0.006887925
50,50,13,22,1,Male,Session5,Scorer1,Cutting,29,-0.000922061,0.006633705
51,51,19,23,1,Female,Session1,Scorer1,Cutting,19,NA,NA
52,52,19,23,1,Female,Session2,Scorer1,Cutting,23,0.000708714,0.00826448
53,53,19,23,1,Female,Session3,Scorer1,Cutting,24,0.000513184,0.00806895
