"","X.1","X","Subject","Age","Year","Sex","Session","Task","Score1","Score2","Mean_Perspiration","Normalised_Data","Time"
"1",1,1,1,22,1,1,1,"Cutting",18,20,-0.0000159793748529605,0.00603978652904387,9.55
"2",2,2,1,22,1,1,2,"Cutting",22,18,0.00114716738300959,0.00720293328690642,5.59
"3",3,3,1,22,1,1,3,"Cutting",23,23,-0.000858981397061764,0.00519678450683507,8.07
"4",4,4,1,22,1,1,4,"Cutting",22,23,NA,NA,2.33
"5",5,5,1,22,1,1,5,"Cutting",22,23,NA,NA,4.05
"6",6,6,2,23,1,1,1,"Cutting",17,19,-0.00592168195993696,0.00013408394395987,6.45
"7",7,7,2,23,1,1,2,"Cutting",19,20,-0.00605576590389683,0,4.15
"8",8,8,2,23,1,1,3,"Cutting",22,23,0.00105833924517951,0.00711410514907634,5.05
"9",9,9,2,23,1,1,4,"Cutting",23,21,0.0000671666575641841,0.00612293256146101,3.2
"10",10,10,2,23,1,1,5,"Cutting",24,22,-0.000573203141484949,0.00548256276241188,4.25
"11",11,11,3,23,1,1,1,"Cutting",19,17,-0.00178792839452465,0.00426783750937218,10.15
"12",12,12,3,23,1,1,2,"Cutting",22,23,NA,NA,7.5
"13",13,13,3,23,1,1,3,"Cutting",24,26,0.0000862091509154193,0.00614197505481225,4.2
"14",14,14,3,23,1,1,4,"Cutting",24,25,0.00298711862196917,0.009042884525866,3.45
"15",15,15,3,23,1,1,5,"Cutting",25,24,0.00053469309651108,0.00659045900040791,3.15
"16",16,16,4,23,1,1,1,"Cutting",14,12,0.000156011785890285,0.00621177768978712,3.1
"17",17,17,4,23,1,1,2,"Cutting",14,12,0.000615402519406952,0.00667116842330378,3
"18",18,18,4,23,1,1,3,"Cutting",15,14,0.000118415962887624,0.00617418186678445,2.1
"19",19,19,4,23,1,1,4,"Cutting",14,15,0.0000915648672488124,0.00614733077114564,2.15
"20",20,20,4,23,1,1,5,"Cutting",15,19,0.000641786104609916,0.00669755200850675,1.55
