"","Subject","Age","Year","Sex","Session","Scorer","Scores","Mean_Precipitation"
"1",1,22,1,"1",1,"Scorer1",13,0.000414439627362946
"2",1,22,1,"1",2,"Scorer1",15,0.000858540407981617
"3",1,22,1,"1",3,"Scorer1",16,0.000185969276240337
"4",1,22,1,"1",4,"Scorer1",17,NA
"5",1,22,1,"1",5,"Scorer1",15,NA
"6",2,23,1,"1",1,"Scorer1",15,-0.0056341905093118
"7",2,23,1,"1",2,"Scorer1",16,-0.00484020265861492
"8",2,23,1,"1",3,"Scorer1",16,0.000272412797676434
"9",2,23,1,"1",4,"Scorer1",19,-0.00069616352863114
"10",2,23,1,"1",5,"Scorer1",20,-0.000811580028227996
"11",3,23,1,"1",1,"Scorer1",18,-0.00150217080213948
"12",3,23,1,"1",2,"Scorer1",20,NA
"13",3,23,1,"1",3,"Scorer1",25,0.00117657255932668
"14",3,23,1,"1",4,"Scorer1",24,0.00252601487936754
"15",3,23,1,"1",5,"Scorer1",23,-0.00021782159857069
"16",4,23,1,"1",1,"Scorer1",12,0.000990617079970401
"17",4,23,1,"1",2,"Scorer1",18,5.95207337151403e-05
"18",4,23,1,"1",3,"Scorer1",19,-0.00128990854028674
"19",4,23,1,"1",4,"Scorer1",22,0.000241087530169115
"20",4,23,1,"1",5,"Scorer1",22,0.000567027224410514
"21",7,25,3,"1",1,"Scorer1",22,-8.62264570633698e-05
"22",7,25,3,"1",2,"Scorer1",25,-4.47916475939357e-06
"23",7,25,3,"1",3,"Scorer1",27,0.0161902433722013
"24",7,25,3,"1",4,"Scorer1",29,-0.000497204394369169
"25",7,25,3,"1",5,"Scorer1",23,0.000846084034602349
"26",8,22,1,"1",1,"Scorer1",9,NA
"27",8,22,1,"1",2,"Scorer1",21,-0.00209890907872181
"28",8,22,1,"1",3,"Scorer1",22,-0.000871458378599777
"29",8,22,1,"1",4,"Scorer1",28,0.000212254221708915
"30",8,22,1,"1",5,"Scorer1",27,-0.000955868895801788
"31",10,24,2,"1",1,"Scorer1",10,-0.000388135735235016
"32",10,24,2,"1",2,"Scorer1",12,NA
"33",10,24,2,"1",3,"Scorer1",13,0.000674917372018897
"34",10,24,2,"1",4,"Scorer1",14,0.000794675826135427
"35",10,24,2,"1",5,"Scorer1",15,NA
"36",11,22,1,"1",1,"Scorer1",14,-0.00056472881287915
"37",11,22,1,"1",2,"Scorer1",17,-0.00135843212571452
"38",11,22,1,"1",3,"Scorer1",18,0.00163231725980294
"39",11,22,1,"1",4,"Scorer1",20,0.000992750510212864
"40",11,22,1,"1",5,"Scorer1",23,0.00103624134896252
"41",12,23,1,"1",1,"Scorer1",11,0.000647747358345596
"42",12,23,1,"1",2,"Scorer1",15,0.000581202154583005
"43",12,23,1,"1",3,"Scorer1",18,0.00234068771180792
"44",12,23,1,"1",4,"Scorer1",20,0.00221114752009552
"45",12,23,1,"1",5,"Scorer1",24,0.00111444701834295
"46",13,22,1,"1",1,"Scorer1",13,0.000380757168957882
"47",13,22,1,"1",2,"Scorer1",16,0.000228225788558077
"48",13,22,1,"1",3,"Scorer1",19,-0.000383011238074821
"49",13,22,1,"1",4,"Scorer1",17,-0.000206636568392314
"50",13,22,1,"1",5,"Scorer1",19,2.95511208527645e-05
"51",19,23,1,"2",1,"Scorer1",12,NA
"52",19,23,1,"2",2,"Scorer1",22,-0.000614011021083215
"53",19,23,1,"2",3,"Scorer1",23,-0.000869574073792945
"54",19,23,1,"2",4,"Scorer1",25,0.00152090061557975
"55",19,23,1,"2",5,"Scorer1",27,0.00141703924610908
"56",21,22,1,"2",1,"Scorer1",13,0.000933202418559084
"57",21,22,1,"2",2,"Scorer1",17,-0.00115902633738181
"58",21,22,1,"2",3,"Scorer1",18,0.00195689663827024
"59",21,22,1,"2",4,"Scorer1",24,0.00403670522906086
"60",21,22,1,"2",5,"Scorer1",25,0.00511148287782898
"61",22,26,2,"2",1,"Scorer1",16,0.00376328961395559
"62",22,26,2,"2",2,"Scorer1",23,0.00294034864662983
"63",22,26,2,"2",3,"Scorer1",23,0.00111899050843763
"64",22,26,2,"2",4,"Scorer1",24,0.00109577817180226
"65",22,26,2,"2",5,"Scorer1",26,0.000767989086820872
"66",24,25,3,"2",1,"Scorer1",21,-0.00253885673617487
"67",24,25,3,"2",2,"Scorer1",22,-0.00186539090713357
"68",24,25,3,"2",3,"Scorer1",24,0.00152684769287857
"69",24,25,3,"2",4,"Scorer1",23,0.00264186980895968
"70",24,25,3,"2",5,"Scorer1",23,7.93637958563086e-05
"71",26,22,1,"2",1,"Scorer1",15,-0.000367012355839296
"72",26,22,1,"2",2,"Scorer1",24,0.000613240911103844
"73",26,22,1,"2",3,"Scorer1",23,0.000512593242124844
"74",26,22,1,"2",4,"Scorer1",25,-0.00011462446238117
"75",26,22,1,"2",5,"Scorer1",27,0.000697178290946069
"76",1,22,1,"1",1,"Scorer2",15,0.000414439627362946
"77",1,22,1,"1",2,"Scorer2",13,0.000858540407981617
"78",1,22,1,"1",3,"Scorer2",17,0.000185969276240337
"79",1,22,1,"1",4,"Scorer2",18,NA
"80",1,22,1,"1",5,"Scorer2",23,NA
"81",2,23,1,"1",1,"Scorer2",17,-0.0056341905093118
"82",2,23,1,"1",2,"Scorer2",19,-0.00484020265861492
"83",2,23,1,"1",3,"Scorer2",14,0.000272412797676434
"84",2,23,1,"1",4,"Scorer2",21,-0.00069616352863114
"85",2,23,1,"1",5,"Scorer2",22,-0.000811580028227996
"86",3,23,1,"1",1,"Scorer2",17,-0.00150217080213948
"87",3,23,1,"1",2,"Scorer2",22,NA
"88",3,23,1,"1",3,"Scorer2",23,0.00117657255932668
"89",3,23,1,"1",4,"Scorer2",25,0.00252601487936754
"90",3,23,1,"1",5,"Scorer2",24,-0.00021782159857069
"91",4,23,1,"1",1,"Scorer2",11,0.000990617079970401
"92",4,23,1,"1",2,"Scorer2",17,5.95207337151403e-05
"93",4,23,1,"1",3,"Scorer2",22,-0.00128990854028674
"94",4,23,1,"1",4,"Scorer2",24,0.000241087530169115
"95",4,23,1,"1",5,"Scorer2",19,0.000567027224410514
"96",7,25,3,"1",1,"Scorer2",23,-8.62264570633698e-05
"97",7,25,3,"1",2,"Scorer2",25,-4.47916475939357e-06
"98",7,25,3,"1",3,"Scorer2",24,0.0161902433722013
"99",7,25,3,"1",4,"Scorer2",28,-0.000497204394369169
"100",7,25,3,"1",5,"Scorer2",23,0.000846084034602349
"101",8,22,1,"1",1,"Scorer2",10,NA
"102",8,22,1,"1",2,"Scorer2",20,-0.00209890907872181
"103",8,22,1,"1",3,"Scorer2",26,-0.000871458378599777
"104",8,22,1,"1",4,"Scorer2",29,0.000212254221708915
"105",8,22,1,"1",5,"Scorer2",25,-0.000955868895801788
"106",10,24,2,"1",1,"Scorer2",13,-0.000388135735235016
"107",10,24,2,"1",2,"Scorer2",14,NA
"108",10,24,2,"1",3,"Scorer2",18,0.000674917372018897
"109",10,24,2,"1",4,"Scorer2",19,0.000794675826135427
"110",10,24,2,"1",5,"Scorer2",21,NA
"111",11,22,1,"1",1,"Scorer2",17,-0.00056472881287915
"112",11,22,1,"1",2,"Scorer2",21,-0.00135843212571452
"113",11,22,1,"1",3,"Scorer2",23,0.00163231725980294
"114",11,22,1,"1",4,"Scorer2",22,0.000992750510212864
"115",11,22,1,"1",5,"Scorer2",16,0.00103624134896252
"116",12,23,1,"1",1,"Scorer2",10,0.000647747358345596
"117",12,23,1,"1",2,"Scorer2",16,0.000581202154583005
"118",12,23,1,"1",3,"Scorer2",20,0.00234068771180792
"119",12,23,1,"1",4,"Scorer2",22,0.00221114752009552
"120",12,23,1,"1",5,"Scorer2",24,0.00111444701834295
"121",13,22,1,"1",1,"Scorer2",15,0.000380757168957882
"122",13,22,1,"1",2,"Scorer2",15,0.000228225788558077
"123",13,22,1,"1",3,"Scorer2",19,-0.000383011238074821
"124",13,22,1,"1",4,"Scorer2",18,-0.000206636568392314
"125",13,22,1,"1",5,"Scorer2",25,2.95511208527645e-05
"126",19,23,1,"2",1,"Scorer2",16,NA
"127",19,23,1,"2",2,"Scorer2",24,-0.000614011021083215
"128",19,23,1,"2",3,"Scorer2",27,-0.000869574073792945
"129",19,23,1,"2",4,"Scorer2",24,0.00152090061557975
"130",19,23,1,"2",5,"Scorer2",28,0.00141703924610908
"131",21,22,1,"2",1,"Scorer2",17,0.000933202418559084
"132",21,22,1,"2",2,"Scorer2",19,-0.00115902633738181
"133",21,22,1,"2",3,"Scorer2",16,0.00195689663827024
"134",21,22,1,"2",4,"Scorer2",23,0.00403670522906086
"135",21,22,1,"2",5,"Scorer2",26,0.00511148287782898
"136",22,26,2,"2",1,"Scorer2",12,0.00376328961395559
"137",22,26,2,"2",2,"Scorer2",22,0.00294034864662983
"138",22,26,2,"2",3,"Scorer2",26,0.00111899050843763
"139",22,26,2,"2",4,"Scorer2",24,0.00109577817180226
"140",22,26,2,"2",5,"Scorer2",24,0.000767989086820872
"141",24,25,3,"2",1,"Scorer2",20,-0.00253885673617487
"142",24,25,3,"2",2,"Scorer2",22,-0.00186539090713357
"143",24,25,3,"2",3,"Scorer2",22,0.00152684769287857
"144",24,25,3,"2",4,"Scorer2",22,0.00264186980895968
"145",24,25,3,"2",5,"Scorer2",24,7.93637958563086e-05
"146",26,22,1,"2",1,"Scorer2",15,-0.000367012355839296
"147",26,22,1,"2",2,"Scorer2",25,0.000613240911103844
"148",26,22,1,"2",3,"Scorer2",25,0.000512593242124844
"149",26,22,1,"2",4,"Scorer2",20,-0.00011462446238117
"150",26,22,1,"2",5,"Scorer2",25,0.000697178290946069
