Subject,Age,Year,Sex,Session,Task,Scorer,Scores,Mean_Perspiration
1,22,1,1,1,Cutting,Scorer1,18,-1.60E-05
1,22,1,1,2,Cutting,Scorer1,22,0.001147167
1,22,1,1,3,Cutting,Scorer1,23,-0.000858981
1,22,1,1,4,Cutting,Scorer1,22,NA
1,22,1,1,5,Cutting,Scorer1,22,NA
2,23,1,1,1,Cutting,Scorer1,17,-0.005921682
2,23,1,1,2,Cutting,Scorer1,19,-0.006055766
2,23,1,1,3,Cutting,Scorer1,22,0.001058339
2,23,1,1,4,Cutting,Scorer1,23,6.72E-05
2,23,1,1,5,Cutting,Scorer1,24,-0.000573203
3,23,1,1,1,Cutting,Scorer1,19,-0.001787928
3,23,1,1,2,Cutting,Scorer1,22,NA
3,23,1,1,3,Cutting,Scorer1,24,8.62E-05
3,23,1,1,4,Cutting,Scorer1,24,0.002987119
3,23,1,1,5,Cutting,Scorer1,25,0.000534693
4,23,1,1,1,Cutting,Scorer1,14,0.000156012
4,23,1,1,2,Cutting,Scorer1,14,0.000615403
4,23,1,1,3,Cutting,Scorer1,15,0.000118416
4,23,1,1,4,Cutting,Scorer1,14,9.16E-05
4,23,1,1,5,Cutting,Scorer1,15,0.000641786
7,25,3,1,1,Cutting,Scorer1,23,-0.001695923
7,25,3,1,2,Cutting,Scorer1,28,0.000567953
7,25,3,1,3,Cutting,Scorer1,29,0.000727105
7,25,3,1,4,Cutting,Scorer1,28,-0.002204906
7,25,3,1,5,Cutting,Scorer1,25,0.000231966
8,22,1,1,1,Cutting,Scorer1,19,NA
8,22,1,1,2,Cutting,Scorer1,22,-0.002510187
8,22,1,1,3,Cutting,Scorer1,24,-0.002167739
8,22,1,1,4,Cutting,Scorer1,28,0.000215657
8,22,1,1,5,Cutting,Scorer1,27,-0.000212902
10,24,2,1,1,Cutting,Scorer1,14,-0.001006518
10,24,2,1,2,Cutting,Scorer1,16,NA
10,24,2,1,3,Cutting,Scorer1,18,0.00131314
10,24,2,1,4,Cutting,Scorer1,19,0.000375303
10,24,2,1,5,Cutting,Scorer1,18,NA
11,22,1,1,1,Cutting,Scorer1,11,-0.001372228
