"","Subject","Age","Year","Sex","Session","Task","Score1","Score2","Mean_Perspiration"
"1",1,22,1,"1",1,"Cutting",18,20,-1.59793748529605e-05
"3",1,22,1,"1",2,"Cutting",22,18,0.00114716738300959
"5",1,22,1,"1",3,"Cutting",23,23,-0.000858981397061764
"7",1,22,1,"1",4,"Cutting",22,23,NA
"9",1,22,1,"1",5,"Cutting",22,23,NA
"11",2,23,1,"1",1,"Cutting",17,19,-0.00592168195993696
"13",2,23,1,"1",2,"Cutting",19,20,-0.00605576590389683
"15",2,23,1,"1",3,"Cutting",22,23,0.00105833924517951
"17",2,23,1,"1",4,"Cutting",23,21,6.71666575641841e-05
"19",2,23,1,"1",5,"Cutting",24,22,-0.000573203141484949
"21",3,23,1,"1",1,"Cutting",19,17,-0.00178792839452465
"23",3,23,1,"1",2,"Cutting",22,23,NA
"25",3,23,1,"1",3,"Cutting",24,26,8.62091509154193e-05
"27",3,23,1,"1",4,"Cutting",24,25,0.00298711862196917
"29",3,23,1,"1",5,"Cutting",25,24,0.00053469309651108
"31",4,23,1,"1",1,"Cutting",14,12,0.000156011785890285
"33",4,23,1,"1",2,"Cutting",14,12,0.000615402519406952
"35",4,23,1,"1",3,"Cutting",15,14,0.000118415962887624
"37",4,23,1,"1",4,"Cutting",14,15,9.15648672488124e-05
"39",4,23,1,"1",5,"Cutting",15,19,0.000641786104609916
"41",7,25,3,"1",1,"Cutting",23,25,-0.00169592316363374
"43",7,25,3,"1",2,"Cutting",28,24,0.000567952640394697
"45",7,25,3,"1",3,"Cutting",29,28,0.000727105214137374
"47",7,25,3,"1",4,"Cutting",28,27,-0.00220490550847957
"49",7,25,3,"1",5,"Cutting",25,23,0.000231966336888968
"51",8,22,1,"1",1,"Cutting",19,21,NA
"53",8,22,1,"1",2,"Cutting",22,20,-0.00251018669572685
"55",8,22,1,"1",3,"Cutting",24,25,-0.00216773863171121
"57",8,22,1,"1",4,"Cutting",28,25,0.000215657466795738
"59",8,22,1,"1",5,"Cutting",27,25,-0.000212901704713079
"61",10,24,2,"1",1,"Cutting",14,13,-0.00100651776424983
"63",10,24,2,"1",2,"Cutting",16,17,NA
"65",10,24,2,"1",3,"Cutting",18,19,0.00131313983615226
"67",10,24,2,"1",4,"Cutting",19,24,0.000375303171723313
"69",10,24,2,"1",5,"Cutting",18,21,NA
"71",11,22,1,"1",1,"Cutting",11,10,-0.00137222804988239
"73",11,22,1,"1",2,"Cutting",14,12,-0.00185400388022271
"75",11,22,1,"1",3,"Cutting",15,14,0.00274671252599287
"77",11,22,1,"1",4,"Cutting",13,19,0.0023577184734148
"79",11,22,1,"1",5,"Cutting",16,16,0.00117340373253955
"81",12,23,1,"1",1,"Cutting",15,16,9.94860812679179e-05
"83",12,23,1,"1",2,"Cutting",18,20,0.00126336697111072
"85",12,23,1,"1",3,"Cutting",23,25,0.00228095234443755
"87",12,23,1,"1",4,"Cutting",27,25,0.00265546382107251
"89",12,23,1,"1",5,"Cutting",28,24,0.00304025483832655
"91",13,22,1,"1",1,"Cutting",18,19,0.000337011107933965
"93",13,22,1,"1",2,"Cutting",17,20,-0.000357259229028135
"95",13,22,1,"1",3,"Cutting",25,23,3.00426927455216e-05
"97",13,22,1,"1",4,"Cutting",25,22,-0.000667840902544326
"99",13,22,1,"1",5,"Cutting",29,25,-0.000922060920504557
"101",19,23,1,"2",1,"Cutting",19,20,NA
"103",19,23,1,"2",2,"Cutting",23,24,0.000708714049691245
"105",19,23,1,"2",3,"Cutting",24,26,0.000513184497828801
"107",19,23,1,"2",4,"Cutting",27,27,0.000912616772469141
"109",19,23,1,"2",5,"Cutting",27,28,0.00150409844134424
"111",21,22,1,"2",1,"Cutting",20,18,0.000770346134048241
"113",21,22,1,"2",2,"Cutting",24,21,-0.000216195759750088
"115",21,22,1,"2",3,"Cutting",26,24,-0.000568408767595958
"117",21,22,1,"2",4,"Cutting",28,22,0.000867734157599398
"119",21,22,1,"2",5,"Cutting",25,26,0.00295844504163748
"121",22,26,2,"2",1,"Cutting",16,14,0.00173012539004048
"123",22,26,2,"2",2,"Cutting",22,21,0.00219679231007232
"125",22,26,2,"2",3,"Cutting",23,24,0.00126518307229234
"127",22,26,2,"2",4,"Cutting",26,25,0.000509536247867436
"129",22,26,2,"2",5,"Cutting",26,24,-5.37751166257081e-06
"131",24,25,3,"2",1,"Cutting",17,14,-0.00254160789052921
"133",24,25,3,"2",2,"Cutting",25,23,-0.00152896132633516
"135",24,25,3,"2",3,"Cutting",25,23,0.00105047949521672
"137",24,25,3,"2",4,"Cutting",25,29,0.00174052226508271
